City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Airai,TL,63.97,overcast clouds,-8.9266,125.4092,Juvinal Martin
3,Puerto Ayora,EC,73.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Lepe,ES,78.12,broken clouds,37.2548,-7.2043,Hotel La Barca
5,Hilo,US,71.33,heavy intensity rain,19.7297,-155.09,Hilo Hawaiian Hotel
7,Cape Town,ZA,65.26,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
8,Busselton,AU,67.05,broken clouds,-33.65,115.3333,Observatory Guest House
9,Kapaa,US,73.72,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,Kambove,CD,87.17,broken clouds,-10.8764,26.5969,Couvant des soeurs catholiques
11,Cabo San Lucas,MX,77.14,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
12,Rikitea,PF,73.9,scattered clouds,-23.1203,-134.9692,People ThankYou
14,Puerto Berrio,CO,78.22,overcast clouds,6.4916,-74.4033,Hotel Central
20,Sola,VU,80.37,overcast clouds,-13.8833,167.55,Leumerus Bungalows
22,Atuona,PF,77.36,light rain,-9.8,-139.0333,Villa Enata
25,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,Moron,AR,64.02,clear sky,-34.6534,-58.6198,Hotel Morón
27,Avarua,CK,66.25,clear sky,-21.2078,-159.775,Paradise Inn
28,Alofi,NU,66.09,clear sky,-19.0595,-169.9187,Taloa Heights
30,Salalah,OM,80.69,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
32,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,Quinta da Meia Eira
34,Bucerias,MX,77.99,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
35,Isangel,VU,73.6,scattered clouds,-19.55,169.2667,Tanna Lodge
37,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
38,Castro,BR,66.65,heavy intensity rain,-24.7911,-50.0119,CHACARA BAILLY
39,Jiazi,CN,77.2,overcast clouds,22.8779,116.067,Hotel Jin Hao
43,Saint-Philippe,RE,74.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
44,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
45,Marienburg,PL,60.96,light rain,54.0359,19.0266,Hotel Centrum Malbork
46,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
47,Peniche,PT,82.62,scattered clouds,39.3558,-9.3811,Hotel Star inn Peniche
49,Inhambane,MZ,79.77,broken clouds,-23.865,35.3833,Oceano
52,Laguna,US,61.34,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
54,Tigzirt,DZ,70.47,broken clouds,36.8886,4.1198,Bloc D tazoumbirt (amar)
58,Kalmunai,LK,84.43,broken clouds,7.4167,81.8167,VS Villa
61,Pisco,PE,64.45,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
64,Tezu,IN,77.54,broken clouds,27.9167,96.1667,Circuit House
66,Bethel,US,74.01,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
67,Vaini,TO,71.76,moderate rain,-21.2,-175.2,Keleti Beach Resort
68,Butaritari,KI,81.46,broken clouds,3.0707,172.7902,Isles Sunset Lodge
71,Port Alfred,ZA,68.45,overcast clouds,-33.5906,26.891,The Halyards Hotel
73,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
75,Touros,BR,86.9,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
76,Liku,ID,77.86,broken clouds,-0.7275,119.8922,Wahyu
78,Bengkulu,ID,77.07,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
81,Shahrud,IR,61.32,clear sky,36.4182,54.9763,Royal Hotel
82,Itea,GR,66.0,overcast clouds,38.4333,22.4167,Trokadero Hotel Ξενοδοχείο
84,Sambava,MG,74.59,light rain,-14.2667,50.1667,Melrose
86,Nago,JP,80.76,clear sky,26.5881,127.9761,Hotel Yugaf Inn Okinawa
87,Seoni Malwa,IN,72.97,clear sky,22.45,77.4667,hotel naman residency
89,Isla Mujeres,MX,84.16,clear sky,21.2311,-86.731,Hotel La Joya Isla Mujeres
95,Karoi,ZW,87.6,broken clouds,-16.8099,29.6925,Chikangwe Guest houses
99,Wanlaweyn,SO,83.97,scattered clouds,2.6185,44.8938,GAASHAAN HOME
100,Hermanus,ZA,62.91,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
102,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
108,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
109,Shorapur,IN,75.74,overcast clouds,16.5167,76.75,Up Inn Lodge
110,Itoman,JP,80.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
111,Dingle,PH,76.77,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
112,Serenje,ZM,80.47,overcast clouds,-13.2325,30.2352,The Kabaso's
113,Balabac,PH,81.34,heavy intensity rain,7.9868,117.0645,Sing and Swing Lodge
114,Arraial Do Cabo,BR,87.76,few clouds,-22.9661,-42.0278,Pousada Porto Praia
115,Tabou,CI,82.45,light rain,4.423,-7.3528,hotêl doufoulougou
116,Lompoc,US,64.42,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
117,Vila Do Maio,CV,86.79,broken clouds,15.1333,-23.2167,Hotel Marilu
118,Buta,CD,75.9,light rain,2.7858,24.73,HOTEL BISO NA BISO
120,Faanui,PF,79.99,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
121,San Antonio,US,79.25,mist,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
122,Bunia,CD,73.99,overcast clouds,1.5667,30.25,Gold Star International Hotel
123,Huarmey,PE,67.91,broken clouds,-10.0681,-78.1522,Hotel Miramar
128,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
129,Hasaki,JP,64.8,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
130,Jamestown,US,71.1,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
137,Salinopolis,BR,86.25,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
138,Necochea,AR,61.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
140,Zlitan,LY,71.01,broken clouds,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
142,Lithakia,GR,65.62,broken clouds,37.7167,20.8333,Zante Plaza Hotel & Apartments
145,Port Blair,IN,80.1,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
146,Los Llanos De Aridane,ES,73.15,few clouds,28.6585,-17.9182,Valle Aridane
150,Straubing,DE,61.16,overcast clouds,48.8833,12.5667,Genusshotel Wenisch / Toni's by Wenisch
152,Meulaboh,ID,79.18,scattered clouds,4.1363,96.1285,Kost Pria
155,Carnarvon,AU,69.87,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
156,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
157,Bud,US,70.59,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
160,Escuinapa,MX,75.11,few clouds,22.85,-105.8,""" Hotel IQ "" de Escuinapa"
162,Wapakoneta,US,74.14,overcast clouds,40.5678,-84.1936,Best Western Wapakoneta Inn
163,Muros,ES,74.68,broken clouds,42.7762,-9.0603,Apartment Av. Castelao
165,Luganville,VU,77.41,broken clouds,-15.5333,167.1667,The Espiritu Hotel
166,Bredasdorp,ZA,61.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
