City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Airai,TL,-8.9266,125.4092,63.97,91,94,1.14,overcast clouds
1,Birnin Kebbi,NG,12.4539,4.1975,100.09,16,7,6.26,clear sky
2,Ushuaia,AR,-54.8,-68.3,49.66,57,40,4.61,scattered clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,73.36,78,97,11.05,overcast clouds
4,Lepe,ES,37.2548,-7.2043,78.12,50,54,12.1,broken clouds
5,Hilo,US,19.7297,-155.09,71.33,95,90,8.05,heavy intensity rain
6,Yellowknife,CA,62.456,-114.3525,34.41,100,75,8.05,broken clouds
7,Cape Town,ZA,-33.9258,18.4232,65.26,57,20,8.01,light rain
8,Busselton,AU,-33.65,115.3333,67.05,64,57,10.85,broken clouds
9,Kapaa,US,22.0752,-159.319,73.72,81,75,1.01,light rain
10,Kambove,CD,-10.8764,26.5969,87.17,24,80,3.83,broken clouds
11,Cabo San Lucas,MX,22.8909,-109.9124,77.14,73,58,4.23,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,73.9,74,39,3.98,scattered clouds
13,Albany,US,42.6001,-73.9662,68.95,87,93,4.03,overcast clouds
14,Puerto Berrio,CO,6.4916,-74.4033,78.22,87,100,1.19,overcast clouds
15,Lesnoy,RU,57.6198,63.0784,48.88,55,36,13.22,scattered clouds
16,Norman Wells,CA,65.282,-126.8329,12.24,85,20,2.3,few clouds
17,Nikolskoye,RU,59.7035,30.7861,47.88,86,100,12.35,light rain
18,Punta Arenas,CL,-53.15,-70.9167,48.31,61,75,35.68,light rain
19,Qaanaaq,GL,77.484,-69.3632,19.56,93,100,10.04,light snow
20,Sola,VU,-13.8833,167.55,80.37,76,88,3.62,overcast clouds
21,Acurenam,GQ,1.0322,10.6488,72.23,97,93,2.21,light rain
22,Atuona,PF,-9.8,-139.0333,77.36,78,39,19.04,light rain
23,Upernavik,GL,72.7868,-56.1549,24.08,70,32,7.99,scattered clouds
24,Youkounkoun,GN,12.5333,-13.1333,96.17,38,1,2.17,clear sky
25,Souillac,MU,-20.5167,57.5167,75.58,73,40,11.5,light rain
26,Moron,AR,-34.6534,-58.6198,64.02,32,0,4.0,clear sky
27,Avarua,CK,-21.2078,-159.775,66.25,94,0,2.3,clear sky
28,Alofi,NU,-19.0595,-169.9187,66.09,94,1,1.14,clear sky
29,Hovd,MN,48.0056,91.6419,32.94,59,6,1.12,clear sky
30,Salalah,OM,17.0151,54.0924,80.69,83,0,5.75,clear sky
31,Mar Del Plata,AR,-38.0023,-57.5575,58.12,48,20,8.99,few clouds
32,Ribeira Grande,PT,38.5167,-28.7,73.8,60,20,6.91,few clouds
33,Korla,CN,41.7597,86.1469,53.53,30,0,4.38,clear sky
34,Bucerias,MX,20.75,-105.3333,77.99,88,1,4.61,clear sky
35,Isangel,VU,-19.55,169.2667,73.6,90,40,9.69,scattered clouds
36,Prince Rupert,CA,54.3161,-130.3201,46.09,88,40,3.44,scattered clouds
37,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,77,100,12.95,overcast clouds
38,Castro,BR,-24.7911,-50.0119,66.65,93,100,5.68,heavy intensity rain
39,Jiazi,CN,22.8779,116.067,77.2,87,98,9.73,overcast clouds
40,Ngunguru,NZ,-35.6167,174.5,46.17,79,1,4.07,clear sky
41,Oum Hadjer,TD,13.2954,19.6966,91.92,40,84,11.39,broken clouds
42,Ushtobe,KZ,45.2514,77.9838,49.37,38,3,3.36,clear sky
43,Saint-Philippe,RE,-21.3585,55.7679,74.79,84,39,12.1,light rain
44,Georgetown,MY,5.4112,100.3354,85.95,83,20,1.01,few clouds
45,Marienburg,PL,54.0359,19.0266,60.96,73,100,18.43,light rain
46,Cap Malheureux,MU,-19.9842,57.6142,75.69,75,0,4.0,clear sky
